Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
Ares Management,Financials,Securities,Public,California,783,yes,yes,no,yes,-156,no,yes,,no,no,2550,24760,3743,-22,168,-59,22003,Michael J. Arougheti,24760,2023,644,yes,yes,no,yes,139,yes,no,,no,no,no,2850,41171,4992,33,474,183,24730,Michael J. Arougheti,41171,2024
Arista Networks,Technology,Network and Other Communications Equipment,Public,California,709,yes,no,yes,yes,135,yes,no,,no,no,3612,51432,4381,49,1352,61,6775,Jayshree V. Ullal,51432,2023,583,yes,no,yes,yes,126,yes,no,,no,no,no,4023,90658,5860,34,2087,54,9947,Jayshree V. Ullal,90658,2024
ARKO,Retailing,Specialty Retailers: Other,Public,Virginia,460,yes,no,no,yes,38,yes,no,no,no,no,12223,1020,8128,27,72,21,3255,Arie Kotler,1020,2023,453,yes,no,no,yes,7,yes,no,no,no,no,no,13481,662,8239,1,34,-52,3650,Arie Kotler,662,2024
Arrow Electronics,Wholesalers,Wholesalers: Electronics and Office Equipment,Public,Colorado,109,yes,no,no,yes,-5,no,yes,no,yes,no,22300,7278,37124,8,1427,29,21763,Sean J. Kerins,8096,2023,133,yes,no,no,no,-24,no,yes,no,yes,yes,no,22100,6988,33107,-11,904,-37,21726,Sean J. Kerins,6525,2024
Arthur J. Gallagher,Financials,Diversified Financials,Public,Illinois,443,yes,no,no,yes,-21,no,yes,no,no,no,43640,40955,8551,4,1114,23,38908,J. Patrick Gallagher Jr.,40955,2023,391,yes,no,no,yes,52,yes,no,no,no,no,no,52118,54584,10072,18,970,-13,51616,J. Patrick Gallagher Jr.,54584,2024
Asbury Automotive Group,Retailing,"Automotive Retailing, Services",Public,Georgia,268,yes,no,no,no,92,yes,no,no,no,no,13000,4557,15434,57,997,87,8021,David W. Hult,4557,2023,281,yes,no,no,yes,-13,no,yes,no,no,no,no,15000,4811,14803,-4,602,-40,10159,David W. Hult,4811,2024
ASGN,Business Services,Diversified Outsourcing Services,Public,Virginia,688,yes,no,no,yes,-25,no,yes,,no,no,4000,4076,4581,6,268,-35,3586,Theodore S. Hanson,4076,2023,691,yes,no,no,no,-3,no,yes,,no,no,no,15450,4871,4451,-3,219,-18,3545,Theodore S. Hanson,4871,2024
Ashland,Chemicals,Chemicals,Public,Delaware,973,yes,no,no,no,26,yes,no,,no,no,3900,5574,2562,3,927,321,6213,Guillermo Novo,5574,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Assurant,Financials,Insurance: Property and Casualty (Stock),Public,Georgia,384,yes,no,no,no,-59,no,yes,no,no,no,13700,6354,10193,-11,277,-80,33124,Keith W. Demmings,6354,2023,365,yes,no,no,no,19,yes,no,no,no,no,no,13600,9784,11132,9,642,132,33635,Keith W. Demmings,9784,2024
AT&T,Telecommunications,Telecommunications,Public,Texas,30,no,no,no,no,-17,no,yes,no,yes,no,160700,137250,120741,-28,-8524,-142,402853,John T. Stankey,96726,2023,32,yes,no,no,no,-2,no,yes,no,yes,yes,no,150470,125889,122428,1,14400,0,407060,John T. Stankey,133222,2024
ATI,Materials,Metals,Public,Texas,765,yes,no,no,yes,110,yes,no,,no,no,6700,5072,3836,37,131,0,4446,Robert S. Wetherbee,5072,2023,727,yes,no,yes,yes,38,yes,no,,no,no,no,7300,6368,4174,9,411,214,4985,Kimberly A. Fields,6368,2024
Atkore,Industrials,"Electronics, Electrical Equip.",Public,Illinois,759,yes,no,no,yes,88,yes,no,,no,no,4500,5550,3914,34,913,55,2599,William E. Waltz,5550,2023,813,yes,no,no,yes,-54,no,yes,,no,no,no,5208,6999,3519,-10,690,-24,2935,William E. Waltz,6999,2024
Atlas Air Worldwide Holdings,Transportation,Transportation and Logistics,Private,New York,691,yes,no,no,yes,-4,no,yes,,no,no,4500,0,4549,13,356,-28,6696,Michael T. Steen,2523,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Atlassian,Technology,Computer Software,Public,California,916,no,yes,no,yes,0,,,,no,yes,8813,43869,2803,34,-614,0,3361,Michael Cannon-Brookes/Scott Farquhar,43869,2023,811,no,yes,no,yes,105,yes,no,,no,no,yes,10726,50613,3535,26,-487,0,4107,Michael Cannon-Brookes,50613,2024
Atmos Energy,Energy,Utilities: Gas and Electric,Public,Texas,722,yes,no,no,yes,46,yes,no,,no,no,4791,16086,4202,23,774,16,22193,John K. Akers,16086,2023,710,yes,no,no,yes,12,yes,no,,no,no,no,5019,17930,4275,2,886,14,22517,John K. Akers,17930,2024
Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),Private,Michigan,362,no,no,no,yes,-23,no,yes,no,no,no,6733,0,11407,4,-55,-104,33219,Jamie Whisnant,0,2023,314,no,no,no,yes,48,yes,no,no,no,no,no,6946,0,12938,13,-912,0,36238,Jamie Whisnant,0,2024
Autodesk,Technology,Computer Software,Public,California,648,yes,no,no,yes,13,yes,no,,no,no,13700,44709,5005,14,823,66,9438,Andrew Anagnost,44709,2023,602,yes,no,no,no,46,yes,no,,no,no,no,13700,55708,5497,10,906,10,9912,Andrew Anagnost,55708,2024
Autoliv,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,429,yes,no,no,yes,-8,no,yes,no,no,no,65300,8013,8842,7,423,-3,7717,Mikael Bratt,8013,2023,384,yes,no,no,yes,45,yes,no,no,no,no,no,66434,9810,10475,18,488,15,8332,Mikael Bratt,9810,2024
Automatic Data Processing,Business Services,Diversified Outsourcing Services,Public,New Jersey,251,yes,no,yes,yes,-9,no,yes,no,no,no,60000,92247,16498,10,2949,14,63068,Maria Black,92247,2023,228,yes,no,yes,yes,23,yes,no,no,no,yes,no,63000,102591,18012,9,3412,16,50971,Maria Black,102591,2024
AutoNation,Retailing,"Automotive Retailing, Services",Public,Florida,151,yes,no,no,yes,-10,no,yes,no,no,no,23600,6301,26985,4,1377,0,10060,Michael M. Manley,6301,2023,155,yes,no,no,yes,-4,no,yes,no,no,yes,no,25300,6902,26949,0,1021,-26,11980,Michael M. Manley,6902,2024
AutoZone,Retailing,Specialty Retailers: Other,Public,Tennessee,258,yes,no,no,yes,-9,no,yes,no,no,no,90720,45224,16252,11,2430,12,15275,William C. Rhodes III,45224,2023,236,yes,no,no,yes,22,yes,no,no,no,yes,no,95200,54533,17457,7,2528,4,15986,Philip B. Daniele III,54533,2024
AvalonBay Communities,Financials,Real estate,Public,Virginia,968,yes,no,no,yes,-8,no,yes,,no,no,2903,23515,2593,13,1137,13,20458,Benjamin W. Schall,23515,2023,941,yes,no,no,yes,27,yes,no,,no,no,no,3009,26384,2768,7,929,-18,20678,Benjamin W. Schall,26384,2024
Avantor,Technology,"Scientific,Photographic and  Control Equipment",Public,Pennsylvania,485,yes,no,no,yes,-28,no,yes,no,no,no,14500,14271,7512,2,687,20,13464,Michael Stubblefield,14271,2023,506,yes,no,no,no,-21,no,yes,,no,no,no,14500,17366,6967,-7,321,-53,12973,Michael Stubblefield,17367,2024
Avery Dennison,Materials,"Packaging, Containers",Public,Ohio,421,yes,no,no,no,-9,no,yes,no,no,no,36000,14513,9039,8,757,2,7951,Deon Stander,14513,2023,450,yes,no,no,no,-29,no,yes,no,no,yes,no,35000,17976,8364,-8,503,-34,8210,Dean M. Stander,17976,2024
Avient,Chemicals,Chemicals,Public,Ohio,669,yes,no,no,yes,-47,no,yes,,no,no,9700,3749,4729,-2,703,205,6085,Robert M. Patterson,3749,2023,863,yes,no,no,no,-194,no,yes,,no,no,no,9300,3960,3143,-34,76,-89,5968,Ashish K. Khandpur,3961,2024
Avis Budget Group,Retailing,"Automotive Retailing, Services",Public,New Jersey,346,yes,no,no,yes,32,yes,no,no,no,no,21500,7689,11994,29,2764,115,25927,Joseph A. Ferraro,7689,2023,345,yes,no,no,no,1,yes,no,no,no,no,no,21250,4344,12008,0,1632,-41,32569,Joseph A. Ferraro,4344,2024
Avnet,Wholesalers,Wholesalers: Electronics and Office Equipment,Public,Arizona,163,yes,no,no,yes,17,yes,no,no,no,no,15300,4130,24311,24,692,258,10389,Philip R. Gallagher,4130,2023,157,yes,no,no,yes,6,yes,no,no,no,yes,no,15800,4480,26537,9,771,11,12477,Philip R. Gallagher,4480,2024
Baker Hughes,Energy,"Oil and Gas Equipment, Services",Public,Texas,185,no,no,no,yes,-15,no,yes,no,no,no,55000,29386,21156,3,-601,0,34181,Lorenzo Simonelli,29386,2023,161,yes,no,no,yes,24,yes,no,no,no,no,no,58000,33530,25506,21,1943,0,36945,Lorenzo Simonelli,33530,2024
Ball,Materials,"Packaging, Containers",Public,Colorado,269,yes,no,no,no,3,yes,no,no,no,no,21000,17326,15349,11,719,-18,19909,Daniel W. Fisher,17326,2023,304,yes,no,no,no,-35,no,yes,no,no,yes,no,21000,21206,14029,-9,707,-2,19303,Daniel W. Fisher,21206,2024
Bank of America,Financials,Commercial Banks,Public,North Carolina,32,yes,no,no,yes,4,yes,no,no,yes,yes,216823,228780,115053,23,27528,-14,3051375,Brian T. Moynihan,234293,2023,18,yes,no,no,no,14,yes,no,no,yes,yes,yes,212985,299213,171912,49,26515,-4,3180151,Brian T. Moynihan,327595,2024
Bank of New York Mellon,Financials,Commercial Banks,Public,New York,201,yes,no,no,yes,28,yes,no,no,no,no,51700,36736,19991,24,2573,-32,405783,Robin Vince,36736,2023,130,yes,no,no,yes,71,yes,no,no,no,yes,no,53400,43380,33805,69,3286,28,409953,Robin Vince,49139,2024
Bath & Body Works,Retailing,Specialty Retailers: Other,Public,Ohio,482,yes,no,yes,yes,-47,no,yes,no,no,no,33000,8368,7560,-4,800,-40,5494,Gina R. Boswell,8368,2023,481,yes,no,yes,yes,1,yes,no,no,no,no,no,33069,11249,7429,-2,878,10,5463,Gina R. Boswell,11249,2024
Baxter International,Health Care,Medical Products and Equipment,Public,Illinois,274,no,no,no,no,18,yes,no,no,no,no,60000,20504,15113,18,-2433,-290,28287,José E. Almeida,20504,2023,270,yes,no,no,no,4,yes,no,no,no,no,no,60000,21704,15282,1,2656,0,28276,Jos? E. Almeida,21705,2024
Beacon Roofing Supply,Wholesalers,Wholesalers: Diversified,Public,Virginia,449,yes,no,no,yes,29,yes,no,no,no,no,7478,3781,8430,24,458,89,6004,Julian G. Francis,3781,2023,429,yes,no,no,yes,20,yes,no,no,no,no,no,8063,6218,9120,8,435,-5,6208,Julian G. Francis,6218,2024
Becton Dickinson,Health Care,Medical Products and Equipment,Public,New Jersey,209,yes,no,no,yes,-36,no,yes,no,no,no,77000,70277,19408,-4,1779,-15,52934,Thomas E. Polen,70277,2023,211,yes,no,no,no,-2,no,yes,no,no,no,no,73000,71489,19372,0,1484,-17,52780,Thomas E. Polen,71489,2024
Bed Bath & Beyond,Retailing,Specialty Retailers: Other,Public,New Jersey,472,no,no,yes,no,-91,no,yes,no,no,no,32000,183,7868,-15,-560,0,5131,Sue E. Gove,183,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Belden,Industrials,"Electronics, Electrical Equip.",Public,Missouri,959,yes,no,no,yes,-20,no,yes,,no,no,8000,3722,2619,9,255,298,3162,Ashish Chand,3722,2023,995,yes,no,no,no,-36,no,yes,,no,no,no,8000,3805,2512,-4,243,-5,3240,Ashish Chand,3805,2024
Benchmark Electronics,Technology,Semiconductors and Other Electronic Components,Public,Arizona,909,yes,no,no,yes,59,yes,no,,no,no,11873,834,2886,28,68,91,2227,Jeffrey W. Benck,834,2023,921,yes,no,no,yes,-12,no,yes,,no,no,no,12703,1074,2839,-2,64,-6,2275,Jeffrey W. Benck,1074,2024
Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),Public,Nebraska,7,no,no,no,yes,0,no,no,no,yes,no,383000,675657,302089,9,-22819,-125,948452,Warren E. Buffett,752829,2023,5,yes,no,no,yes,2,yes,no,no,yes,yes,no,396500,908920,364482,21,96223,0,1069978,Warren E. Buffett,937028,2024
Berry Global Group,Materials,"Packaging, Containers",Public,Indiana,284,yes,no,no,no,-13,no,yes,no,no,no,46000,7151,14495,5,766,4,16956,Thomas E. Salmon,7151,2023,320,yes,no,no,no,-36,no,yes,no,no,no,no,44000,7010,12664,-13,609,-20,16587,Kevin Kwilinski,7010,2024
Best Buy,Retailing,Specialty Retailers: Other,Public,Minnesota,94,yes,no,yes,no,-26,no,yes,no,yes,no,71100,17066,46298,-11,1419,-42,15803,Corie S. Barry,17952,2023,100,yes,no,yes,yes,-6,no,yes,no,yes,yes,no,85000,17668,43452,-6,1241,-12,14967,Corie S. Barry,18444,2024
Big Lots,Retailing,Specialty Retailers: Other,Public,Ohio,609,no,no,no,no,-94,no,yes,,no,no,21200,318,5468,-11,-211,-218,3691,Bruce K. Thorn,318,2023,666,no,no,no,no,-57,no,yes,,no,no,no,21150,126,4722,-14,-482,0,3325,Bruce K. Thorn,127,2024
Bio-Rad Laboratories,Technology,"Scientific,Photographic and  Control Equipment",Public,California,918,no,no,no,yes,-68,no,yes,,no,no,8200,14101,2802,-4,-3628,-185,13502,Norman D. Schwartz,14101,2023,964,no,no,no,no,-46,no,yes,,no,no,no,8030,9794,2671,-5,-637,0,12299,Norman D. Schwartz,9794,2024
Biogen,Health Care,Pharmaceuticals,Public,Massachusetts,386,yes,no,no,no,-48,no,yes,no,no,no,8725,40171,10173,-7,3047,96,24554,Christopher A. Viehbacher,40171,2023,401,yes,no,no,no,-15,no,yes,no,no,no,no,7570,31344,9836,-3,1161,-62,26845,Christopher A. Viehbacher,31344,2024
BJ's Wholesale Club,Retailing,General Merchandisers,Public,Massachusetts,210,yes,no,no,no,11,yes,no,no,no,no,34000,10186,19315,16,513,20,6350,Robert W. Eddy,10186,2023,205,yes,no,no,no,5,yes,no,no,no,no,no,34000,10058,19969,3,524,2,6678,Robert W. Eddy,10059,2024
Black Hills,Energy,Utilities: Gas and Electric,Public,South Dakota,976,yes,no,no,yes,0,,,,no,no,2982,4182,2552,31,258,9,9618,Linden R. Evans,4182,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
BlackRock,Financials,Securities,Public,New York,229,yes,no,no,yes,-45,no,yes,no,no,no,19800,100526,17873,-8,5178,-12,117628,Laurence D. Fink,100526,2023,231,yes,yes,no,no,-2,no,yes,no,no,yes,no,19800,124173,17859,0,5502,6,123211,Laurence D. Fink,124173,2024
Blackstone,Financials,Diversified Financials,Public,New York,444,yes,yes,no,yes,-285,no,yes,no,no,no,4695,62048,8518,-62,1748,-70,42524,Stephen A. Schwarzman,62048,2023,464,yes,yes,no,yes,-20,no,yes,no,no,no,no,4735,93883,8023,-6,1391,-20,40288,Stephen A. Schwarzman,93883,2024
Block,Business Services,Financial Data Services,Public,California,234,no,yes,no,yes,-26,no,yes,no,no,no,12428,41329,17532,-1,-541,-425,31364,Jack Dorsey,41329,2023,186,yes,yes,no,yes,48,yes,no,no,no,yes,no,12985,52075,21916,25,10,0,34070,Jack Dorsey,52075,2024
Bloomin' Brands,"Hotels, Restaurants & Leisure",Food Services,Public,Florida,704,yes,no,no,yes,-23,no,yes,,no,no,87000,2247,4417,7,102,-53,3320,David J. Deno,2247,2023,671,yes,no,no,no,33,yes,no,,no,no,no,87000,2497,4672,6,247,143,3424,David J. Deno,2497,2024
BlueLinx Holdings,Wholesalers,Wholesalers: Diversified,Public,Georgia,699,yes,no,no,yes,-34,no,yes,,no,no,2090,616,4450,4,296,0,1490,Shyam K. Reddy,616,2023,865,yes,no,no,no,-166,no,yes,,no,no,no,1990,1127,3136,-30,48,-84,1538,Shyam K. Reddy,1127,2024
Boeing,Aerospace & Defense,Aerospace & Defense,Public,Virginia,58,no,no,no,yes,2,yes,no,no,yes,no,156000,127283,66608,7,-4935,0,137100,David L. Calhoun,127460,2023,52,no,no,no,yes,6,yes,no,no,yes,yes,no,171000,117750,77794,17,-2222,0,137012,Kelly K. Ortberg,109953,2024
Boise Cascade,Wholesalers,Wholesalers: Diversified,Public,Idaho,451,yes,no,no,yes,-19,no,yes,no,no,no,6840,2506,8387,6,858,20,3241,Nathan R. Jorgensen,2506,2023,519,yes,no,no,yes,-68,no,yes,,no,no,no,7300,6068,6838,-18,484,-44,3459,Nathan R. Jorgensen,6068,2024
Booking Holdings,Technology,Internet Services and Retailing,Public,Connecticut,243,yes,no,no,yes,97,yes,no,no,no,no,21492,99859,17090,56,3058,162,25361,Glenn D. Fogel,99859,2023,190,yes,no,no,yes,53,yes,no,no,no,yes,no,23482,123968,21365,25,4289,40,24342,Glenn D. Fogel,123968,2024
Booz Allen Hamilton Holding,Technology,Information Technology Services,Public,Virginia,452,yes,no,no,yes,-16,no,yes,no,no,no,29300,12261,8364,6,467,-23,6026,Horacio D. Rozanski,12261,2023,422,yes,no,no,yes,30,yes,no,no,no,yes,no,31900,19260,9259,11,272,-42,6551,Horacio D. Rozanski,19260,2024
BorgWarner,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,262,yes,no,no,yes,-18,no,yes,no,no,no,52700,11481,15801,6,944,76,16994,Frederic B. Lissalde,11481,2023,258,yes,no,no,no,4,yes,no,no,no,yes,no,39900,8023,15921,1,625,-34,14453,Frederic B. Lissalde,8023,2024
Boston Properties,Financials,Real estate,Public,Massachusetts,878,yes,no,no,yes,-21,no,yes,,no,no,780,8487,3109,8,849,68,24208,Owen D. Thomas,8487,2023,852,yes,no,no,yes,26,yes,no,,no,no,no,836,10254,3274,5,190,-78,26026,Owen D. Thomas,10254,2024
Boston Scientific,Health Care,Medical Products and Equipment,Public,Massachusetts,323,yes,no,no,yes,-4,no,yes,no,no,no,45000,71910,12682,7,698,-33,32469,Michael F. Mahoney,71910,2023,300,yes,no,no,yes,23,yes,no,no,no,yes,no,48000,100673,14240,12,1592,128,35136,Michael F. Mahoney,100673,2024
Boyd Gaming,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Nevada,811,yes,no,no,yes,-40,no,yes,,no,no,15771,6533,3555,6,639,38,6311,Keith E. Smith,6533,2023,785,yes,no,no,yes,26,yes,no,,no,no,no,16129,6466,3738,5,620,-3,6273,Keith E. Smith,6466,2024
Bread Financial Holdings,Business Services,Financial Data Services,Public,Ohio,714,yes,no,no,yes,-44,no,yes,,no,no,7500,1520,4329,2,223,-72,25407,Ralph J. Andretta,1520,2023,631,yes,no,no,no,83,yes,no,,no,no,no,7000,1841,5168,19,718,222,23141,Ralph J. Andretta,1841,2024
Bright Health Group,Health Care,Health Care: Insurance and Managed Care,Public,Minnesota,547,no,no,no,no,141,yes,no,,no,no,2840,140,6370,58,-1456,0,4665,G. Mike Mikan,140,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Brighthouse Financial,Financials,"Insurance: Life, Health (stock)",Public,North Carolina,448,yes,no,no,no,20,yes,no,no,no,no,1500,2986,8473,19,5,0,225580,Eric T. Steigerwalt,2986,2023,734,no,no,no,no,-286,no,yes,,no,no,no,1500,3241,4117,-51,-1112,-22340,236340,Eric T. Steigerwalt,3241,2024
BrightView Holdings,Business Services,Diversified Outsourcing Services,Public,Pennsylvania,927,yes,no,no,yes,-11,no,yes,,no,no,21700,526,2775,9,14,-70,3306,Andrew V. Masterman,526,2023,926,no,no,no,no,1,yes,no,,no,no,no,20700,1123,2816,2,-8,-155,3352,Dale A. Asplund,1123,2024
Brink's,Business Services,Diversified Outsourcing Services,Public,Virginia,693,yes,no,no,no,-18,no,yes,,no,no,70850,3116,4536,8,171,62,6366,Mark Eubanks,3116,2023,655,yes,no,no,no,38,yes,no,,no,no,no,67100,4132,4875,8,88,-49,6602,Mark Eubanks,4132,2024
Brinker International,"Hotels, Restaurants & Leisure",Food Services,Public,Texas,773,yes,no,no,yes,6,yes,no,,no,no,62025,1674,3804,14,118,-11,2484,Kevin D. Hochman,1674,2023,731,yes,no,no,yes,42,yes,no,,no,no,no,64323,2197,4133,9,103,-13,2487,Kevin D. Hochman,2197,2024
Bristol-Myers Squibb,Health Care,Pharmaceuticals,Public,New Jersey,95,yes,no,no,yes,-13,no,yes,no,yes,no,34300,145780,46159,0,6327,-10,96820,Giovanni Caforio,129937,2023,98,yes,no,no,no,-3,no,yes,no,yes,yes,no,34100,109911,45006,-2,8025,27,95159,Christopher S. Boerner,81388,2024
Broadcom,Technology,Semiconductors and Other Electronic Components,Public,California,123,yes,no,no,no,5,yes,no,no,no,no,20000,267473,33203,21,11495,71,73249,Hock E. Tan,375688,2023,118,yes,no,no,no,5,yes,no,no,yes,no,no,20000,614223,35819,8,14082,22,72861,Hock E. Tan,797940,2024
Broadridge Financial Solutions,Business Services,Financial Data Services,Public,New York,596,yes,no,no,yes,12,yes,no,,no,no,14300,17250,5709,14,539,-2,8169,Timothy C. Gokey,17250,2023,564,yes,no,no,yes,32,yes,no,,no,yes,no,14700,24127,6061,6,631,17,8233,Timothy C. Gokey,24127,2024
Brookdale Senior Living,Health Care,Health Care: Medical Facilities,Public,Tennessee,913,no,no,yes,yes,-22,no,yes,,no,no,30600,552,2825,2,-238,0,5937,Lucinda M. Baier,552,2023,889,no,no,yes,no,24,yes,no,,no,no,no,30600,1252,3016,7,-189,0,5573,Lucinda M. Baier,1252,2024
Brown & Brown,Financials,Insurance: Property and Casualty (Stock),Public,Florida,807,yes,no,no,yes,15,yes,no,,no,no,15201,16290,3573,17,672,14,13974,J. Powell Brown,16290,2023,712,yes,no,no,yes,95,yes,no,,no,no,no,16152,24979,4257,19,870,30,14883,J. Powell Brown,24979,2024
Brown-Forman,"Food, Beverages & Tobacco",Beverages,Public,Kentucky,751,yes,no,no,yes,8,yes,no,,no,no,5200,30957,3933,14,838,-7,6373,Lawson E. Whiting,30957,2023,716,yes,no,no,yes,35,yes,no,,no,no,no,5600,24617,4228,8,783,-7,7777,Lawson E. Whiting,24617,2024
Bruker,Technology,"Scientific,Photographic and  Control Equipment",Public,Massachusetts,980,yes,no,no,yes,-48,no,yes,,no,no,8525,11568,2531,5,297,7,3612,Frank H. Laukien,11568,2023,894,yes,no,no,yes,86,yes,no,,no,no,no,9707,12933,2964,17,427,44,4250,Frank H. Laukien,12933,2024
Brunswick,Transportation,Transportation Equipment,Public,Illinois,523,yes,no,no,yes,10,yes,no,,no,no,19100,5845,6812,16,677,14,6321,David M. Foulkes,5845,2023,546,yes,no,no,no,-23,no,yes,,no,no,no,18104,6556,6401,-6,420,-38,6230,David M. Foulkes,6556,2024
Builders FirstSource,Materials,"Building Materials, Glass",Public,Texas,172,yes,no,no,yes,4,yes,no,no,no,no,29000,12253,22726,14,2749,59,10595,Dave Rush,12253,2023,240,yes,no,no,no,-68,no,yes,no,no,no,no,29000,25431,17097,-25,1541,-44,10500,Dave Rush,25431,2024
Burlington Stores,Retailing,Specialty Retailers: Apparel,Public,New Jersey,434,yes,no,no,no,-57,no,yes,no,no,no,38018,13123,8703,-7,230,-44,7270,Michael B. O?Sullivan,13123,2023,404,yes,no,no,yes,30,yes,no,no,no,no,no,44050,14841,9728,12,340,48,7707,Michael B. O?Sullivan,14841,2024
C.H. Robinson Worldwide,Transportation,Transportation and Logistics,Public,Minnesota,160,yes,no,no,yes,-6,no,yes,no,no,no,17399,11417,24697,7,941,11,5955,Scott P. Anderson,11417,2023,233,yes,no,no,no,-73,no,yes,no,no,yes,no,15246,8908,17596,-29,325,-65,5225,David P. Bozeman,8908,2024
Cabot,Chemicals,Chemicals,Public,Massachusetts,716,yes,no,no,no,50,yes,no,,no,no,4190,4317,4321,27,209,-16,3525,Sean D. Keohane,4317,2023,759,yes,no,no,yes,-43,no,yes,,no,no,no,4268,5111,3931,-9,445,113,3604,Sean D. Keohane,5111,2024
CACI International,Technology,Information Technology Services,Public,Virginia,564,yes,no,no,no,-42,no,yes,,no,no,22000,6965,6203,3,367,-20,6629,John S. Mengucci,6965,2023,525,yes,no,no,yes,39,yes,no,,no,yes,no,23000,8442,6702,8,385,5,6601,John S. Mengucci,8442,2024
Cadence Design Systems,Technology,Computer Software,Public,California,809,yes,no,no,yes,25,yes,no,,no,yes,10228,57398,3562,19,849,22,5137,Anirudh Devgan,57398,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Caesars Entertainment,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Nevada,354,no,no,no,no,-19,no,yes,no,no,no,49000,10503,11647,5,-899,0,33527,Thomas R. Reeg,10503,2023,353,yes,no,no,yes,1,yes,no,no,no,no,no,51000,9461,11673,0,786,0,33366,Thomas R. Reeg,9461,2024
Caleres,Retailing,Specialty Retailers: Apparel,Public,Missouri,900,yes,no,no,yes,-19,no,yes,,no,no,7300,771,2968,7,182,33,1837,John W. Schmidt,771,2023,925,yes,no,no,no,-25,no,yes,,no,no,no,7150,1457,2817,-5,171,-6,1805,John W. Schmidt,1457,2024
California Resources,Energy,"Mining, Crude-Oil Production",Public,California,942,yes,no,no,yes,0,,,,no,no,1060,2737,2707,43,524,-14,3967,Francisco J. Leon,2737,2023,933,yes,no,no,no,9,yes,no,,no,no,no,970,3789,2801,4,564,8,3998,Francisco J. Leon,3789,2024
Callon Petroleum,Energy,"Mining, Crude-Oil Production",Public,Texas,864,yes,no,no,yes,0,,,,no,no,354,2061,3231,58,1210,231,6146,Joseph C. Gatto Jr.,2061,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
